,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,MEAN,VARIANCE,PERSON
39,26430,70030,72057,33233,86804,31072,52016,94809,76649,41039,64211,59917,33878,73097,72868,24427,26430,70030,72057,33233,86804,31072,52016,94809,76649,41039,64211,59917,33878,73097,72868,24427,35,7,14
40,33039,83702,77808,40536,93760,45277,44533,58760,48017,37768,36051,87706,10941,68647,66978,20685,33039,83702,77808,40536,93760,45277,44533,58760,48017,37768,36051,87706,10941,68647,66978,20685,33,7,15
41,21035,70427,82265,34878,83175,52104,34032,89385,54695,32976,41486,60397,18724,51311,73998,30027,21035,70427,82265,34878,83175,52104,34032,89385,54695,32976,41486,60397,18724,51311,73998,30027,32,6,15
42,19497,75791,75432,34817,86738,40846,61305,80808,66271,28511,59812,81320,28258,66354,75428,22934,19497,75791,75432,34817,86738,40846,61305,80808,66271,28511,59812,81320,28258,66354,75428,22934,35,7,15
43,33682,74781,84224,39401,85772,58456,42413,78737,50757,43690,51202,65441,20559,50872,75192,26484,33682,74781,84224,39401,85772,58456,42413,78737,50757,43690,51202,65441,20559,50872,75192,26484,34,7,15
44,32296,87730,81294,22303,107275,65872,57629,103894,103723,73028,65267,130820,41652,130254,136219,50079,32296,87730,81294,22303,107275,65872,57629,103894,103723,73028,65267,130820,41652,130254,136219,50079,50,7,15
45,29441,94285,85844,22257,100819,57714,61525,102456,80037,47758,48656,80109,28942,105718,75132,20494,29441,94285,85844,22257,100819,57714,61525,102456,80037,47758,48656,80109,28942,105718,75132,20494,40,7,15
46,21001,88074,104206,38736,108565,55940,37726,96238,55686,46064,39307,89306,28462,83422,82015,26606,21001,88074,104206,38736,108565,55940,37726,96238,55686,46064,39307,89306,28462,83422,82015,26606,39,7,15
47,34844,103049,121153,39796,111634,52603,46967,87344,76442,48713,41414,74123,25479,72427,64034,24654,34844,103049,121153,39796,111634,52603,46967,87344,76442,48713,41414,74123,25479,72427,64034,24654,40,7,15
48,27618,86672,102836,17406,86851,55997,58678,86563,77023,55888,65131,85053,33417,93017,91274,32203,27618,86672,102836,17406,86851,55997,58678,86563,77023,55888,65131,85053,33417,93017,91274,32203,41,7,16
49,21944,89810,93028,33857,76166,54879,50548,84250,79517,60535,65187,75759,23455,88116,80055,26794,21944,89810,93028,33857,76166,54879,50548,84250,79517,60535,65187,75759,23455,88116,80055,26794,39,7,16
50,25709,86934,95348,35922,78221,51554,56814,79787,74682,51387,64156,79660,29461,90093,82115,26630,25709,86934,95348,35922,78221,51554,56814,79787,74682,51387,64156,79660,29461,90093,82115,26630,39,7,16
51,25962,94584,104511,39845,86793,48373,50888,107593,74873,52520,47758,105993,27827,90216,85962,38820,25962,94584,104511,39845,86793,48373,50888,107593,74873,52520,47758,105993,27827,90216,85962,38820,42,7,16
52,39201,84395,77340,41336,89404,50568,33595,98722,92720,53126,48061,92255,23393,74404,80809,31650,39201,84395,77340,41336,89404,50568,33595,98722,92720,53126,48061,92255,23393,74404,80809,31650,39,7,16
53,37780,104483,101688,36755,93291,63804,40667,92624,84978,66317,56005,98201,26293,70083,93144,29133,37780,104483,101688,36755,93291,63804,40667,92624,84978,66317,56005,98201,26293,70083,93144,29133,42,7,16
54,32556,100851,91067,39699,83751,64596,41518,91834,81260,64799,45764,96088,27339,73476,84805,27782,32556,100851,91067,39699,83751,64596,41518,91834,81260,64799,45764,96088,27339,73476,84805,27782,40,7,16
55,33638,87049,81277,28862,96507,69652,59777,90215,92834,49472,54800,85248,30963,76076,88260,31847,33638,87049,81277,28862,96507,69652,59777,90215,92834,49472,54800,85248,30963,76076,88260,31847,41,7,16
56,31530,74133,106134,30894,79173,63160,59855,86343,74380,34737,76575,82290,36433,84259,70339,20256,31530,74133,106134,30894,79173,63160,59855,86343,74380,34737,76575,82290,36433,84259,70339,20256,39,7,17
57,31257,94258,103433,29618,93089,46344,51031,81969,90917,47538,61591,87566,23672,92382,73765,21279,31257,94258,103433,29618,93089,46344,51031,81969,90917,47538,61591,87566,23672,92382,73765,21279,40,7,17
58,31232,112633,97466,38090,102082,52592,37230,116511,82788,29183,39786,114376,31969,93123,119082,42341,31232,112633,97466,38090,102082,52592,37230,116511,82788,29183,39786,114376,31969,93123,119082,42341,44,7,17
59,30347,96173,102092,39932,89775,51633,62549,83795,83410,41290,57458,85862,28958,87063,79340,23929,30347,96173,102092,39932,89775,51633,62549,83795,83410,41290,57458,85862,28958,87063,79340,23929,40,7,17
60,26923,91123,91099,30007,92003,50347,42588,82245,93480,43295,45328,87362,34956,104093,82401,30088,26923,91123,91099,30007,92003,50347,42588,82245,93480,43295,45328,87362,34956,104093,82401,30088,40,7,17
61,40517,104122,108936,35375,119699,60441,50574,87025,110515,37299,37703,110849,39296,96873,102485,39874,40517,104122,108936,35375,119699,60441,50574,87025,110515,37299,37703,110849,39296,96873,102485,39874,46,7,17
62,37915,100071,95952,39035,97492,49851,47952,97498,102292,45606,42953,100095,36160,95051,85145,33767,37915,100071,95952,39035,97492,49851,47952,97498,102292,45606,42953,100095,36160,95051,85145,33767,43,7,17
63,22344,74576,96291,26646,81188,57210,56942,67525,65208,32742,64975,65361,40868,96962,85649,15569,22344,74576,96291,26646,81188,57210,56942,67525,65208,32742,64975,65361,40868,96962,85649,15569,37,7,17
